FID;Area;MUNCod;NOMMun;ZAT;UTAM
255;85762,257479899999000;11001,000000000000000;Bogotá;603,000000000000000;UTAM32
256;810701,267052000040000;11001,000000000000000;Bogotá;529,000000000000000;UTAM82
257;624358,030064000050000;11001,000000000000000;Bogotá;414,000000000000000;UTAM82
258;1608925,186950000000000;11001,000000000000000;Bogotá;413,000000000000000;UTAM79
259;681122,491016000040000;11001,000000000000000;Bogotá;398,000000000000000;UTAM77
260;743744,016249999990000;11001,000000000000000;Bogotá;317,000000000000000;UTAM112
261;873945,587892999990000;11001,000000000000000;Bogotá;955,000000000000000;UTAM112
262;346180,249185999970000;11001,000000000000000;Bogotá;392,000000000000000;UTAM112
263;275987,677731000000000;11001,000000000000000;Bogotá;255,000000000000000;UTAM99
264;268366,327047000000000;11001,000000000000000;Bogotá;848,000000000000000;UTAM97
265;140351,885727999990000;11001,000000000000000;Bogotá;240,000000000000000;UTAM98
266;283544,405558000030000;11001,000000000000000;Bogotá;234,000000000000000;UTAM98
267;876593,777417000030000;11001,000000000000000;Bogotá;396,000000000000000;UTAM79
268;211262,063751000010000;11001,000000000000000;Bogotá;412,000000000000000;UTAM82
269;424845,271040000020000;11001,000000000000000;Bogotá;415,000000000000000;UTAM82
270;523863,708494000020000;11001,000000000000000;Bogotá;528,000000000000000;UTAM82
271;761759,779385000000000;11001,000000000000000;Bogotá;527,000000000000000;UTAM80
272;642460,878570999950000;11001,000000000000000;Bogotá;391,000000000000000;UTAM46
273;279440,846991000000000;11001,000000000000000;Bogotá;998,000000000000000;UTAM115
274;568676,534392999950000;11001,000000000000000;Bogotá;305,000000000000000;UTAM115
275;866413,930234999980000;11001,000000000000000;Bogotá;314,000000000000000;UTAM75
276;630981,944493000050000;11001,000000000000000;Bogotá;311,000000000000000;UTAM75
277;631370,549172000030000;11001,000000000000000;Bogotá;312,000000000000000;UTAM75
278;157648,083587000000000;11001,000000000000000;Bogotá;403,000000000000000;UTAM75
279;228660,399611000000000;11001,000000000000000;Bogotá;239,000000000000000;UTAM98
280;118938,067337000000000;11001,000000000000000;Bogotá;236,000000000000000;UTAM98
281;276386,734803000000000;11001,000000000000000;Bogotá;235,000000000000000;UTAM98
282;292716,775916000010000;11001,000000000000000;Bogotá;231,000000000000000;UTAM98
283;108018,948051000000000;11001,000000000000000;Bogotá;232,000000000000000;UTAM98
284;1332361,238670000100000;11001,000000000000000;Bogotá;324,000000000000000;UTAM112
285;1238366,682470000100000;11001,000000000000000;Bogotá;389,000000000000000;UTAM46
286;662692,968507000010000;11001,000000000000000;Bogotá;417,000000000000000;UTAM47
287;406763,944307000030000;11001,000000000000000;Bogotá;408,000000000000000;UTAM46
288;598697,327648999980000;11001,000000000000000;Bogotá;390,000000000000000;UTAM46
289;387970,629529000030000;11001,000000000000000;Bogotá;526,000000000000000;UTAM47
290;115881,633951000000000;11001,000000000000000;Bogotá;409,000000000000000;UTAM46
291;638387,041267000020000;11001,000000000000000;Bogotá;321,000000000000000;UTAM114
292;1151681,973569999900000;11001,000000000000000;Bogotá;322,000000000000000;UTAM110
293;705053,579069999980000;11001,000000000000000;Bogotá;319,000000000000000;UTAM114
294;309463,483300000020000;11001,000000000000000;Bogotá;954,000000000000000;UTAM115
295;467756,761296999990000;11001,000000000000000;Bogotá;320,000000000000000;UTAM114
296;651305,722086000020000;11001,000000000000000;Bogotá;198,000000000000000;UTAM73
297;558317,709677999960000;11001,000000000000000;Bogotá;200,000000000000000;UTAM30
298;676436,416297000020000;11001,000000000000000;Bogotá;204,000000000000000;UTAM31
